[s],CH1[V]
-7.9566E-04,-1.979E-02
-7.9158E-04,-1.819E-02
-7.8750E-04,-1.979E-02
-7.8342E-04,-2.059E-02
-7.7934E-04,-2.059E-02
-7.7526E-04,-1.979E-02
-7.7118E-04,-1.979E-02
-7.6710E-04,-1.979E-02
-7.6302E-04,-1.979E-02
-7.5894E-04,-1.979E-02
-7.5486E-04,-1.979E-02
-7.5078E-04,-1.979E-02
-7.4670E-04,-1.979E-02
-7.4262E-04,-2.219E-02
-7.3854E-04,-2.059E-02
-7.3446E-04,-2.219E-02
-7.3038E-04,-2.219E-02
-7.2630E-04,-2.139E-02
-7.2222E-04,-2.299E-02
-7.1814E-04,-2.219E-02
-7.1406E-04,-2.379E-02
-7.0998E-04,-2.379E-02
-7.0590E-04,-2.299E-02
-7.0182E-04,-2.379E-02
-6.9774E-04,-2.539E-02
-6.9366E-04,-2.219E-02
-6.8958E-04,-2.379E-02
-6.8550E-04,-2.299E-02
-6.8142E-04,-2.379E-02
-6.7734E-04,-2.379E-02
-6.7326E-04,-2.379E-02
-6.6918E-04,-2.379E-02
-6.6510E-04,-2.379E-02
-6.6102E-04,-2.539E-02
-6.5694E-04,-2.379E-02
-6.5286E-04,-2.619E-02
-6.4878E-04,-2.619E-02
-6.4470E-04,-2.539E-02
-6.4062E-04,-2.539E-02
-6.3654E-04,-2.459E-02
-6.3246E-04,-2.539E-02
-6.2838E-04,-2.539E-02
-6.2430E-04,-2.539E-02
-6.2022E-04,-2.539E-02
-6.1614E-04,-2.459E-02
-6.1206E-04,-2.539E-02
-6.0798E-04,-2.619E-02
-6.0390E-04,-2.619E-02
-5.9982E-04,-2.619E-02
-5.9574E-04,-2.779E-02
-5.9166E-04,-2.699E-02
-5.8758E-04,-2.699E-02
-5.8350E-04,-2.779E-02
-5.7942E-04,-2.699E-02
-5.7534E-04,-2.859E-02
-5.7126E-04,-2.859E-02
-5.6718E-04,-2.859E-02
-5.6310E-04,-2.619E-02
-5.5902E-04,-2.699E-02
-5.5494E-04,-2.699E-02
-5.5086E-04,-2.699E-02
-5.4678E-04,-2.859E-02
-5.4270E-04,-2.619E-02
-5.3862E-04,-2.859E-02
-5.3454E-04,-2.859E-02
-5.3046E-04,-2.619E-02
-5.2638E-04,-2.779E-02
-5.2230E-04,-2.779E-02
-5.1822E-04,-2.779E-02
-5.1414E-04,-2.859E-02
-5.1006E-04,-2.859E-02
-5.0598E-04,-2.859E-02
-5.0190E-04,-2.939E-02
-4.9782E-04,-2.939E-02
-4.9374E-04,-2.779E-02
-4.8966E-04,-2.939E-02
-4.8558E-04,-2.779E-02
-4.8150E-04,-2.859E-02
-4.7742E-04,-2.779E-02
-4.7334E-04,-2.859E-02
-4.6926E-04,-2.939E-02
-4.6518E-04,-2.859E-02
-4.6110E-04,-2.699E-02
-4.5702E-04,-2.859E-02
-4.5294E-04,-2.699E-02
-4.4886E-04,-2.699E-02
-4.4478E-04,-3.019E-02
-4.4070E-04,-2.859E-02
-4.3662E-04,-2.539E-02
-4.3254E-04,-2.859E-02
-4.2846E-04,-2.939E-02
-4.2438E-04,-2.939E-02
-4.2030E-04,-2.939E-02
-4.1622E-04,-2.859E-02
-4.1214E-04,-2.939E-02
-4.0806E-04,-2.939E-02
-4.0398E-04,-2.699E-02
-3.9990E-04,-2.699E-02
-3.9582E-04,-2.859E-02
-3.9174E-04,-2.699E-02
-3.8766E-04,-2.779E-02
-3.8358E-04,-2.939E-02
-3.7950E-04,-2.859E-02
-3.7542E-04,-2.779E-02
-3.7134E-04,-2.859E-02
-3.6726E-04,-2.859E-02
-3.6318E-04,-2.699E-02
-3.5910E-04,-2.779E-02
-3.5502E-04,-2.779E-02
-3.5094E-04,-2.779E-02
-3.4686E-04,-2.539E-02
-3.4278E-04,-2.619E-02
-3.3870E-04,-2.539E-02
-3.3462E-04,-2.619E-02
-3.3054E-04,-2.619E-02
-3.2646E-04,-2.619E-02
-3.2238E-04,-2.619E-02
-3.1830E-04,-2.619E-02
-3.1422E-04,-2.459E-02
-3.1014E-04,-2.379E-02
-3.0606E-04,-2.379E-02
-3.0198E-04,-2.699E-02
-2.9790E-04,-2.459E-02
-2.9382E-04,-2.459E-02
-2.8974E-04,-2.379E-02
-2.8566E-04,-2.379E-02
-2.8158E-04,-2.619E-02
-2.7750E-04,-2.459E-02
-2.7342E-04,-2.459E-02
-2.6934E-04,-2.379E-02
-2.6526E-04,-2.299E-02
-2.6118E-04,-2.379E-02
-2.5710E-04,-2.379E-02
-2.5302E-04,-2.219E-02
-2.4894E-04,-2.379E-02
-2.4486E-04,-2.379E-02
-2.4078E-04,-2.219E-02
-2.3670E-04,-2.219E-02
-2.3262E-04,-2.059E-02
-2.2854E-04,-2.139E-02
-2.2446E-04,-2.299E-02
-2.2038E-04,-2.219E-02
-2.1630E-04,-2.059E-02
-2.1222E-04,-2.059E-02
-2.0814E-04,-2.299E-02
-2.0406E-04,-2.139E-02
-1.9998E-04,-2.139E-02
-1.9590E-04,-2.059E-02
-1.9182E-04,-2.139E-02
-1.8774E-04,-2.139E-02
-1.8366E-04,-1.979E-02
-1.7958E-04,-2.059E-02
-1.7550E-04,-1.899E-02
-1.7142E-04,-1.979E-02
-1.6734E-04,-1.979E-02
-1.6326E-04,-2.059E-02
-1.5918E-04,-1.979E-02
-1.5510E-04,-1.819E-02
-1.5102E-04,-1.739E-02
-1.4694E-04,-1.739E-02
-1.4286E-04,-1.899E-02
-1.3878E-04,-1.739E-02
-1.3470E-04,-1.579E-02
-1.3062E-04,-1.579E-02
-1.2654E-04,-1.579E-02
-1.2246E-04,-1.419E-02
-1.1838E-04,-1.659E-02
-1.1430E-04,-1.579E-02
-1.1022E-04,-1.339E-02
-1.0614E-04,-1.499E-02
-1.0206E-04,-1.419E-02
-9.7980E-05,-1.419E-02
-9.3900E-05,-1.179E-02
-8.9820E-05,-1.339E-02
-8.5740E-05,-1.339E-02
-8.1660E-05,-1.179E-02
-7.7580E-05,-1.179E-02
-7.3500E-05,-1.339E-02
-6.9420E-05,-1.259E-02
-6.5340E-05,-1.179E-02
-6.1260E-05,-1.019E-02
-5.7180E-05,-1.259E-02
-5.3100E-05,-1.099E-02
-4.9020E-05,-1.099E-02
-4.4940E-05,-9.388E-03
-4.0860E-05,-8.588E-03
-3.6780E-05,-9.388E-03
-3.2700E-05,-6.988E-03
-2.8620E-05,-6.988E-03
-2.4540E-05,-5.388E-03
-2.0460E-05,-7.788E-03
-1.6380E-05,-6.988E-03
-1.2300E-05,-6.988E-03
-8.2203E-06,-4.588E-03
-4.1403E-06,-6.988E-03
-6.0311E-08,-3.788E-03
4.0197E-06,-3.788E-03
8.0997E-06,-5.388E-03
1.2180E-05,-3.788E-03
1.6260E-05,-3.788E-03
2.0340E-05,-3.788E-03
2.4420E-05,-3.788E-03
2.8500E-05,-5.881E-04
3.2580E-05,2.119E-04
3.6660E-05,-1.388E-03
4.0740E-05,-5.881E-04
4.4820E-05,-5.881E-04
4.8900E-05,2.119E-04
5.2980E-05,2.119E-04
5.7060E-05,2.119E-04
6.1140E-05,2.612E-03
6.5220E-05,3.412E-03
6.9300E-05,1.012E-03
7.3380E-05,2.612E-03
7.7460E-05,5.012E-03
8.1540E-05,3.412E-03
8.5620E-05,5.812E-03
8.9700E-05,3.412E-03
9.3780E-05,4.212E-03
9.7860E-05,5.012E-03
1.0194E-04,4.212E-03
1.0602E-04,6.612E-03
1.1010E-04,5.812E-03
1.1418E-04,7.412E-03
1.1826E-04,7.412E-03
1.2234E-04,7.412E-03
1.2642E-04,7.412E-03
1.3050E-04,7.412E-03
1.3458E-04,9.812E-03
1.3866E-04,9.012E-03
1.4274E-04,1.061E-02
1.4682E-04,9.812E-03
1.5090E-04,9.012E-03
1.5498E-04,1.061E-02
1.5906E-04,1.061E-02
1.6314E-04,9.812E-03
1.6722E-04,1.061E-02
1.7130E-04,9.812E-03
1.7538E-04,1.141E-02
1.7946E-04,1.141E-02
1.8354E-04,1.141E-02
1.8762E-04,1.461E-02
1.9170E-04,1.221E-02
1.9578E-04,1.141E-02
1.9986E-04,1.221E-02
2.0394E-04,1.541E-02
2.0802E-04,1.541E-02
2.1210E-04,1.461E-02
2.1618E-04,1.541E-02
2.2026E-04,1.381E-02
2.2434E-04,1.541E-02
2.2842E-04,1.541E-02
2.3250E-04,1.381E-02
2.3658E-04,1.461E-02
2.4066E-04,1.461E-02
2.4474E-04,1.621E-02
2.4882E-04,1.621E-02
2.5290E-04,1.541E-02
2.5698E-04,1.621E-02
2.6106E-04,1.701E-02
2.6514E-04,1.541E-02
2.6922E-04,1.781E-02
2.7330E-04,1.781E-02
2.7738E-04,1.861E-02
2.8146E-04,1.781E-02
2.8554E-04,1.781E-02
2.8962E-04,1.701E-02
2.9370E-04,1.861E-02
2.9778E-04,1.941E-02
3.0186E-04,2.021E-02
3.0594E-04,2.101E-02
3.1002E-04,1.941E-02
3.1410E-04,2.021E-02
3.1818E-04,1.941E-02
3.2226E-04,1.861E-02
3.2634E-04,1.861E-02
3.3042E-04,1.861E-02
3.3450E-04,1.781E-02
3.3858E-04,1.861E-02
3.4266E-04,1.941E-02
3.4674E-04,1.861E-02
3.5082E-04,1.941E-02
3.5490E-04,1.941E-02
3.5898E-04,2.181E-02
3.6306E-04,2.021E-02
3.6714E-04,1.861E-02
3.7122E-04,2.101E-02
3.7530E-04,2.101E-02
3.7938E-04,2.341E-02
3.8346E-04,2.181E-02
3.8754E-04,2.101E-02
3.9162E-04,2.341E-02
3.9570E-04,2.261E-02
3.9978E-04,2.501E-02
4.0386E-04,2.341E-02
4.0794E-04,2.261E-02
4.1202E-04,2.181E-02
4.1610E-04,2.261E-02
4.2018E-04,2.181E-02
4.2426E-04,2.421E-02
4.2834E-04,2.181E-02
4.3242E-04,2.261E-02
4.3650E-04,2.181E-02
4.4058E-04,2.261E-02
4.4466E-04,2.181E-02
4.4874E-04,2.181E-02
4.5282E-04,2.341E-02
4.5690E-04,2.261E-02
4.6098E-04,2.341E-02
4.6506E-04,2.421E-02
4.6914E-04,2.421E-02
4.7322E-04,2.501E-02
4.7730E-04,2.501E-02
4.8138E-04,2.581E-02
4.8546E-04,2.421E-02
4.8954E-04,2.501E-02
4.9362E-04,2.501E-02
4.9770E-04,2.421E-02
5.0178E-04,2.421E-02
5.0586E-04,2.341E-02
5.0994E-04,2.341E-02
5.1402E-04,2.421E-02
5.1810E-04,2.341E-02
5.2218E-04,2.261E-02
5.2626E-04,2.421E-02
5.3034E-04,2.421E-02
5.3442E-04,2.341E-02
5.3850E-04,2.181E-02
5.4258E-04,2.341E-02
5.4666E-04,2.501E-02
5.5074E-04,2.501E-02
5.5482E-04,2.341E-02
5.5890E-04,2.581E-02
5.6298E-04,2.421E-02
5.6706E-04,2.501E-02
5.7114E-04,2.661E-02
5.7522E-04,2.421E-02
