[s],CH1[V]
-1.0865E-02,-2.520E+00
-1.0861E-02,-2.520E+00
-1.0857E-02,-2.680E+00
-1.0853E-02,-2.600E+00
-1.0849E-02,-2.600E+00
-1.0845E-02,-2.680E+00
-1.0841E-02,-2.520E+00
-1.0836E-02,-2.440E+00
-1.0832E-02,-2.520E+00
-1.0828E-02,-2.280E+00
-1.0824E-02,-2.440E+00
-1.0820E-02,-2.440E+00
-1.0816E-02,-2.200E+00
-1.0812E-02,-2.200E+00
-1.0808E-02,-2.200E+00
-1.0804E-02,-2.200E+00
-1.0800E-02,-1.960E+00
-1.0796E-02,-2.120E+00
-1.0792E-02,-1.960E+00
-1.0788E-02,-1.880E+00
-1.0783E-02,-1.720E+00
-1.0779E-02,-1.880E+00
-1.0775E-02,-1.960E+00
-1.0771E-02,-1.960E+00
-1.0767E-02,-1.880E+00
-1.0763E-02,-1.720E+00
-1.0759E-02,-1.640E+00
-1.0755E-02,-1.720E+00
-1.0751E-02,-1.240E+00
-1.0747E-02,-1.320E+00
-1.0743E-02,-1.560E+00
-1.0739E-02,-1.240E+00
-1.0734E-02,-1.720E+00
-1.0730E-02,-1.320E+00
-1.0726E-02,-1.560E+00
-1.0722E-02,-1.320E+00
-1.0718E-02,-1.240E+00
-1.0714E-02,-1.320E+00
-1.0710E-02,-1.080E+00
-1.0706E-02,-1.000E+00
-1.0702E-02,-1.160E+00
-1.0698E-02,-1.240E+00
-1.0694E-02,-8.400E-01
-1.0690E-02,-1.080E+00
-1.0686E-02,-1.080E+00
-1.0681E-02,-1.160E+00
-1.0677E-02,-5.200E-01
-1.0673E-02,-6.000E-01
-1.0669E-02,-6.800E-01
-1.0665E-02,-5.200E-01
-1.0661E-02,-4.400E-01
-1.0657E-02,-3.600E-01
-1.0653E-02,-4.400E-01
-1.0649E-02,-3.600E-01
-1.0645E-02,-5.200E-01
-1.0641E-02,-3.600E-01
-1.0637E-02,-4.400E-01
-1.0632E-02,-2.800E-01
-1.0628E-02,-6.000E-01
-1.0624E-02,-2.000E-01
-1.0620E-02,-2.000E-01
-1.0616E-02,-2.800E-01
-1.0612E-02,-4.000E-02
-1.0608E-02,2.000E-01
-1.0604E-02,-2.000E-01
-1.0600E-02,1.200E-01
-1.0596E-02,1.200E-01
-1.0592E-02,2.000E-01
-1.0588E-02,1.200E-01
-1.0584E-02,1.200E-01
-1.0579E-02,6.000E-01
-1.0575E-02,4.400E-01
-1.0571E-02,2.800E-01
-1.0567E-02,6.800E-01
-1.0563E-02,4.400E-01
-1.0559E-02,6.800E-01
-1.0555E-02,6.000E-01
-1.0551E-02,2.800E-01
-1.0547E-02,8.400E-01
-1.0543E-02,4.400E-01
-1.0539E-02,7.600E-01
-1.0535E-02,1.000E+00
-1.0530E-02,8.400E-01
-1.0526E-02,1.080E+00
-1.0522E-02,7.600E-01
-1.0518E-02,8.400E-01
-1.0514E-02,1.240E+00
-1.0510E-02,1.160E+00
-1.0506E-02,1.160E+00
-1.0502E-02,1.160E+00
-1.0498E-02,1.480E+00
-1.0494E-02,1.240E+00
-1.0490E-02,1.400E+00
-1.0486E-02,1.080E+00
-1.0482E-02,1.320E+00
-1.0477E-02,1.160E+00
-1.0473E-02,1.400E+00
-1.0469E-02,1.400E+00
-1.0465E-02,1.400E+00
-1.0461E-02,1.320E+00
-1.0457E-02,1.720E+00
-1.0453E-02,1.480E+00
-1.0449E-02,1.720E+00
-1.0445E-02,1.720E+00
-1.0441E-02,1.800E+00
-1.0437E-02,2.120E+00
-1.0433E-02,1.800E+00
-1.0428E-02,1.560E+00
-1.0424E-02,1.960E+00
